text,source,date
"I absolutely love this phone, the camera is amazing!!",Twitter,2026-09-01
"Worst purchase I've ever made, broke after two days.",Twitter,2026-09-01
"It's okay, does what it says but nothing special.",ProductReview,2026-09-02
"Customer support was incredibly helpful and quick to respond!",Facebook,2026-09-02
"Battery drains so fast, very disappointed :(",Twitter,2026-09-03
"Great value for money, would definitely recommend to friends.",ProductReview,2026-09-03
"The delivery was delayed by a week, not happy about that.",Twitter,2026-09-04
"Average product, met my basic expectations.",ProductReview,2026-09-04
"This is a game changer! Best in its category by far.",Facebook,2026-09-05
"Package arrived damaged, requesting a refund.",Twitter,2026-09-05
"Decent build quality but the software has bugs.",ProductReview,2026-09-06
"Absolutely thrilled with this purchase, exceeded expectations!",Facebook,2026-09-06
"Not worth the price, feels cheaply made.",Twitter,2026-09-07
"Works fine, no complaints so far.",ProductReview,2026-09-07
"Terrible experience, will never buy from this brand again.",Twitter,2026-09-08
"Impressed by how fast the setup was, very intuitive.",Facebook,2026-09-08
"Mediocre performance for the price point.",ProductReview,2026-09-09
"Love the design and the color options available!",Twitter,2026-09-09
"Support team ignored my complaint for a week, frustrating.",Twitter,2026-09-10
"Solid product overall, a few minor issues but nothing major.",ProductReview,2026-09-10
